Temperature;Humidity;Latitud;Longitud;Brix;Acidez;Agua;Índice padurez;Calibre;Fertilizantes;Primavera;Verano;Otoño;Invierno;ID;Frescura
13.0;58.0;37.03014733368173;-2.35858920660942;5.48;0.41;96.8;12.73;8;0;1;0;0;1;2;1
13.0;58.0;36.78522485057852;-2.724391993456974;6.13;0.37;96.22;12.07;9;0;1;0;1;1;3;1
13.0;58.0;36.76156210392852;-2.727946894649046;5.59;0.44;96.92;12.7;11;1;1;0;0;1;1;1
13.0;58.0;36.85246518682606;-2.452961296228259;5.57;0.33;94.04;13.32;6;0;1;1;1;1;4;1
13.0;58.0;37.123766495144814;-2.3994302089430777;7.38;0.53;88.08;15.52;3;1;1;0;1;1;5;1
13.0;58.0;37.1393651046787;-2.735858798344388;5.56;0.45;96.89;12.57;9;1;1;0;0;1;1;1
13.0;58.0;36.983268063069445;-2.481158783035495;6.18;0.56;94.83;10.8;9;0;1;0;1;1;8;0
13.0;58.0;36.87001829810974;-2.7940739687303617;5.09;0.49;95.79;11.99;8;0;1;0;1;1;9;0
13.0;58.0;37.0663542660954;-2.47958877572139;7.54;0.53;86.93;19.68;3;0;1;0;1;1;5;1
13.0;58.0;36.76409784284082;-2.5146341846581333;8.52;0.8;86.86;13.15;8;0;1;0;0;1;6;1
13.0;58.0;37.07042347322273;-2.657505947442921;6.68;0.3;94.85;14.63;7;0;1;1;0;1;10;1
13.0;58.0;36.79145909866598;-2.5217514859297565;5.47;0.32;93.12;13.47;6;0;1;1;1;1;11;1
13.0;58.0;36.83907013022153;-2.4502981108531645;6.46;0.4;94.97;12.92;9;0;1;1;0;1;10;1
13.0;58.0;36.84412647040562;-2.241212771433982;7.16;0.69;92.17;13.71;6;0;1;0;1;1;8;1
13.0;58.0;37.15707569487315;-2.560914173479327;7.91;0.8;85.18;13.06;6;0;1;0;0;1;6;1
13.0;58.0;36.82748199301358;-2.6033319847743224;6.23;0.37;94.15;13.83;7;1;1;1;1;1;4;1
13.0;58.0;36.92839525476107;-2.305952631593569;3.61;0.3;95.69;14.15;8;0;1;1;0;1;7;1
13.0;58.0;37.03807932467663;-2.788455945430872;4.42;0.21;97.25;15.69;9;0;0;0;1;1;12;1
13.0;58.0;36.86924168847523;-2.4041609039416483;8.34;0.8;88.42;12.82;8;0;1;0;0;1;6;1
13.0;58.0;37.05809877817576;-2.721277078323064;6.96;0.8;89.54;13.14;5;0;1;0;0;1;13;1
13.0;58.0;36.90299605711352;-2.69154102173418;7.36;0.62;86.47;11.16;1;0;1;0;1;1;14;0
13.0;58.0;36.78301042271894;-2.639714308513392;7.92;0.7;93.15;11.34;8;1;1;0;1;1;8;1
13.0;58.0;36.718830767875325;-2.728047655931497;5.48;0.4;96.93;14.51;9;0;1;0;0;1;2;1
13.0;58.0;36.988988825486246;-2.520425002312789;6.73;0.8;87.4;13.79;7;0;1;0;0;1;13;1
13.0;58.0;36.81512641379744;-2.580988558580488;7.83;0.99;81.05;8.14;1;0;1;0;1;1;15;0
13.0;58.0;36.70548497175728;-2.669309293549066;5.19;0.47;95.39;10.66;8;0;1;0;1;1;9;0
13.0;58.0;37.10926595101295;-2.485159659160003;3.62;0.29;97.8;16.22;9;0;0;0;1;1;12;1
13.0;58.0;36.799147205147925;-2.603210352134563;5.16;0.32;93.77;13.18;8;0;1;1;1;1;11;1
13.0;58.0;37.14961932580567;-2.40694404656652;5.4;0.43;96.4;13.75;9;0;1;0;0;1;2;1
13.0;58.0;37.09983682299771;-2.211333685612316;6.14;0.8;89.62;13.11;6;1;1;0;0;1;13;1
13.0;58.0;36.71375304656168;-2.5632631493284967;6.31;0.54;94.95;14.7;6;0;1;0;1;1;17;1
13.0;58.0;37.11990376170464;-2.533209077005424;4.12;0.26;97.35;14.76;9;0;0;0;1;1;12;1
13.0;59.0;37.151635164271326;-2.230129739264989;5.33;0.31;93.17;14.56;6;1;1;1;1;1;11;1
13.0;59.0;36.71546507640805;-2.682454803046836;8.03;0.95;82.83;8.24;1;0;1;0;1;1;15;0
13.0;59.0;36.80608755254987;-2.695861259966068;6.73;0.8;88.37;14.39;7;1;1;0;0;1;13;1
13.0;59.0;36.97344915530641;-2.715677508059549;3.8;0.3;95.93;13.7;12;0;1;1;0;1;7;1
13.0;59.0;37.17885346087956;-2.3044698066704585;4.43;0.27;97.51;15.19;8;1;0;0;1;1;12;1
13.0;59.0;37.13779471560697;-2.780105485537705;5.27;0.34;93.62;13.13;6;1;1;1;1;1;11;1
13.0;59.0;37.05932407899577;-2.7528802435855293;3.65;0.3;95.84;13.53;11;1;1;1;0;1;7;0
13.0;59.0;37.0876447489041;-2.669621744503011;7.28;0.63;86.74;10.73;3;1;1;0;1;1;14;0
13.0;59.0;36.88739864420469;-2.2147232725474115;5.06;0.33;92.32;14.94;7;0;1;1;1;1;4;1
12.0;59.0;37.19662001872924;-2.4347476139876525;6.29;0.38;94.23;13.43;9;1;1;1;0;1;10;1
12.0;59.0;36.87820295492796;-2.32766416681498;5.48;0.33;93.11;14.44;7;0;1;1;1;1;11;1
12.0;59.0;36.706737394066565;-2.643490479138681;6.22;0.49;96.21;13.61;10;0;1;0;1;1;3;1
12.0;59.0;37.07781424820912;-2.6169852854449567;5.44;0.38;92.83;13.04;6;0;1;1;1;1;4;1
12.0;59.0;37.18676490034248;-2.512484598925894;7.21;0.67;87.92;10.93;3;0;1;0;1;1;14;0
12.0;59.0;37.13767979263774;-2.695274926267313;5.05;0.4;96.55;13.91;10;0;1;0;0;1;1;1
12.0;59.0;36.776431631923565;-2.495266373171145;3.97;0.3;95.5;13.3;13;0;1;1;0;1;7;0
12.0;59.0;36.92925742420138;-2.7198507318095944;7.31;0.69;86.18;11.22;2;0;1;0;1;1;14;0
12.0;59.0;36.94879777419645;-2.5355388149138145;7.23;0.84;83.81;9.38;2;1;1;0;1;1;15;0
12.0;59.0;36.961105401490336;-2.3592972343594583;5.38;0.33;94.72;13.04;6;0;1;1;1;1;4;1
12.0;59.0;36.84574302074985;-2.436742966355825;5.49;0.31;93.15;13.51;6;0;1;1;1;1;11;1
12.0;59.0;36.7675478594305;-2.6268552651352173;6.61;0.74;89.32;9.15;1;0;1;0;1;1;15;0
12.0;59.0;36.71730256253279;-2.318848935215195;7.26;0.66;86.49;11.27;1;1;1;0;1;1;14;0
12.0;59.0;37.09551371081522;-2.626422461575404;4.17;0.23;97.08;17.62;8;1;0;0;1;1;12;1
12.0;59.0;36.86326884765643;-2.7433297979151003;5.33;0.34;93.54;12.44;6;0;1;1;1;1;11;0
12.0;59.0;36.97704009944451;-2.2242282813282177;5.51;0.42;96.86;13.21;9;0;1;0;0;1;1;1
12.0;59.0;37.03174930100257;-2.39304239457504;5.0;0.45;96.08;12.91;10;0;1;0;0;1;2;1
12.0;59.0;36.72140160488706;-2.4219921327742333;7.01;0.73;92.56;11.51;6;0;1;0;1;1;8;1
12.0;59.0;36.96837444464834;-2.642355157511606;5.28;0.48;95.56;11.19;8;0;1;0;1;1;9;0
12.0;59.0;37.18663777402198;-2.230635577618008;5.52;0.42;96.92;13.11;9;0;1;0;0;1;2;1
12.0;59.0;36.77959690305973;-2.3729771468322416;6.48;0.4;96.35;13.02;8;0;1;0;1;1;3;1
12.0;59.0;36.84248770575056;-2.6089183339419124;7.41;0.64;86.52;10.89;2;1;1;0;1;1;14;0
12.0;59.0;36.8110970933604;-2.2963680721200017;7.5;0.56;93.11;12.7;8;1;1;0;1;1;8;1
12.0;59.0;36.98125008193307;-2.739475761573006;5.48;0.33;93.96;14.36;7;0;1;1;1;1;11;1
12.0;59.0;37.17734622366007;-2.7039051901681264;3.34;0.3;97.68;12.75;9;0;1;0;1;1;16;0
12.0;59.0;36.836600781235056;-2.273806507205193;9.18;0.8;88.58;14.46;5;1;1;0;0;1;6;1
12.0;59.0;37.10932798105529;-2.5025961043672145;7.24;0.75;90.1;9.55;1;0;1;0;1;1;15;0
12.0;59.0;36.85723500743436;-2.7442140969335536;6.12;0.8;86.03;12.75;8;0;1;0;0;1;13;1
12.0;59.0;36.75367384677055;-2.208459019423321;3.94;0.3;95.74;14.27;13;0;1;1;0;1;7;1
12.0;59.0;37.00528847709657;-2.261589164495168;5.23;0.47;95.55;10.68;6;0;1;0;1;1;9;0
12.0;59.0;36.71153649267197;-2.6192244711012647;5.06;0.31;93.96;14.18;6;1;1;1;1;1;11;1
12.0;59.0;37.04034495120693;-2.256479043173514;6.16;0.67;93.16;10.79;6;1;1;0;1;1;8;0
12.0;59.0;37.017533533153255;-2.648047219838632;8.05;0.95;82.44;7.92;3;1;1;0;1;1;15;0
12.0;59.0;37.181023973364006;-2.5659548227841085;6.46;0.46;96.13;13.09;10;1;1;0;1;1;3;1
12.0;59.0;36.81957517168127;-2.5122953179698926;5.79;0.37;92.63;12.69;7;1;1;1;1;1;4;1
12.0;59.0;36.88237909430124;-2.393731396573782;8.9;0.57;94.49;13.09;7;0;1;0;1;1;8;1
12.0;59.0;36.95618060082376;-2.5430021799855083;6.65;0.58;94.39;14.54;6;0;1;0;1;1;17;1
12.0;59.0;36.78902828124483;-2.731149163699472;3.11;0.3;97.74;12.24;10;0;1;0;1;1;16;0
12.0;59.0;36.95857820251425;-2.229242040942072;6.5;0.72;93.15;13.23;9;0;1;0;1;1;8;1
12.0;59.0;37.01375959943262;-2.5646843736012404;3.65;0.3;95.85;13.18;12;0;1;1;0;1;7;0
11.0;60.0;36.873485242505616;-2.305813530901234;5.11;0.48;95.77;11.58;7;1;1;0;1;1;9;0
11.0;60.0;36.80393423916579;-2.684363696943388;7.1;0.81;89.16;8.56;1;1;1;0;1;1;15;0
11.0;60.0;36.91804143239827;-2.635849951670349;6.65;0.38;94.08;14.77;8;0;1;1;0;1;10;1
11.0;60.0;36.84015939043696;-2.532031107615176;6.68;0.37;94.6;14.75;7;1;1;1;0;1;10;1
11.0;60.0;36.807629814022725;-2.520661042620115;6.78;0.65;87.7;11.3;2;0;1;0;1;1;14;0
