,Unnamed: 0.1,temperature,humidity,date,nombre_finca,Fertilizantes,latitud,longitud,Unnamed: 0,Tipo,Brix,Acidez,Agua,Índice padurez,Calibre,Primavera,Verano,Otoño,Invierno,frescura
0,1,13.0,58.0,2018-01-25,"Roberson, Hunter and Webb",No,37.03014733368173,-2.35858920660942,1,Rosa,5.48,0.41,96.8,12.73,8,Sí,No,No,Sí,True
1,2,13.0,58.0,2018-02-12,Schneider-Rasmussen,No,36.78522485057852,-2.724391993456974,2,Liso,6.13,0.37,96.22,12.07,9,Sí,No,Sí,Sí,True
2,3,13.0,58.0,2018-02-25,"Rodriguez, Montgomery and Valentine",Sí,36.76156210392852,-2.727946894649046,3,Beef,5.59,0.44,96.92,12.7,11,Sí,No,No,Sí,True
3,4,13.0,58.0,2018-04-26,"Rodriguez, Montgomery and Valentine",No,36.85246518682606,-2.452961296228259,4,Pera,5.57,0.33,94.04,13.32,6,Sí,Sí,Sí,Sí,True
4,5,13.0,58.0,2018-03-20,Jones-Boyd,Sí,37.123766495144814,-2.3994302089430777,5,Cherry Pera,7.38,0.53,88.08,15.52,3,Sí,No,Sí,Sí,True
5,7,13.0,58.0,2018-03-18,"Murphy, Myers and Mitchell",Sí,37.1393651046787,-2.735858798344388,7,Beef,5.56,0.45,96.89,12.57,9,Sí,No,No,Sí,True
6,10,13.0,58.0,2018-10-30,Jones-Boyd,No,36.983268063069445,-2.481158783035495,10,Raf,6.18,0.56,94.83,10.8,9,Sí,No,Sí,Sí,False
7,11,13.0,58.0,2018-05-27,"Roberson, Hunter and Webb",No,36.87001829810974,-2.7940739687303617,11,Larga Vida,5.09,0.49,95.79,11.99,8,Sí,No,Sí,Sí,False
8,12,13.0,58.0,2018-11-13,Schneider-Rasmussen,No,37.0663542660954,-2.47958877572139,12,Cherry Pera,7.54,0.53,86.93,19.68,3,Sí,No,Sí,Sí,True
9,13,13.0,58.0,2018-05-28,Jones-Boyd,No,36.76409784284082,-2.5146341846581333,13,Adora,8.52,0.8,86.86,13.15,8,Sí,No,No,Sí,True
10,14,13.0,58.0,2018-05-18,"Rodriguez, Montgomery and Valentine",No,37.07042347322273,-2.657505947442921,14,Rebelión,6.68,0.3,94.85,14.63,7,Sí,Sí,No,Sí,True
11,15,13.0,58.0,2018-04-17,Nguyen-Thompson,No,36.79145909866598,-2.5217514859297565,15,Rama,5.47,0.32,93.12,13.47,6,Sí,Sí,Sí,Sí,True
