cicle;temperature;humidity;RSSI;date;hour
1;8;44;-84;22/03/2018;8:31:23
2;8;44;-85;22/03/2018;8:31:33
3;8;44;-85;22/03/2018;8:31:43
4;8;44;-86;22/03/2018;8:31:53
5;8;44;-86;22/03/2018;8:32:03
6;8;44;-86;22/03/2018;8:32:13
7;8;44;-85;22/03/2018;8:32:23
8;8;44;-85;22/03/2018;8:32:33
9;8;44;-84;22/03/2018;8:32:43
10;8;44;-84;22/03/2018;8:32:53
11;8;44;-84;22/03/2018;8:33:03
12;8;44;-84;22/03/2018;8:33:13
13;8;44;-85;22/03/2018;8:33:23
14;8;44;-85;22/03/2018;8:33:33
15;8;44;-85;22/03/2018;8:33:43
16;8;44;-85;22/03/2018;8:33:53
17;8;43;-85;22/03/2018;8:34:03
18;8;43;-85;22/03/2018;8:34:13
19;8;43;-85;22/03/2018;8:34:23
20;9;43;-85;22/03/2018;8:34:33
21;9;43;-85;22/03/2018;8:34:43
22;9;43;-85;22/03/2018;8:34:53
23;9;43;-84;22/03/2018;8:35:03
24;9;43;-84;22/03/2018;8:35:13
25;9;43;-84;22/03/2018;8:35:23
26;9;43;-84;22/03/2018;8:35:33
27;9;43;-84;22/03/2018;8:35:43
28;9;43;-84;22/03/2018;8:35:53
29;9;43;-84;22/03/2018;8:36:03
30;9;43;-84;22/03/2018;8:36:13
31;9;43;-84;22/03/2018;8:36:23
32;9;43;-84;22/03/2018;8:36:33
33;9;43;-84;22/03/2018;8:36:43
34;9;43;-84;22/03/2018;8:36:53
35;9;43;-84;22/03/2018;8:37:03
36;9;43;-84;22/03/2018;8:37:13
37;9;43;-84;22/03/2018;8:37:23
38;9;44;-84;22/03/2018;8:37:33
39;9;44;-84;22/03/2018;8:37:43
40;9;44;-84;22/03/2018;8:37:53
41;9;44;-84;22/03/2018;8:38:03
42;9;44;-84;22/03/2018;8:38:13
43;9;44;-84;22/03/2018;8:38:23
44;9;44;-85;22/03/2018;8:38:33
45;9;44;-85;22/03/2018;8:38:43
46;9;44;-85;22/03/2018;8:38:53
47;9;44;-85;22/03/2018;8:39:03
48;9;44;-85;22/03/2018;8:39:13
49;9;44;-85;22/03/2018;8:39:23
50;9;44;-85;22/03/2018;8:39:33
51;9;44;-85;22/03/2018;8:39:43
52;9;44;-85;22/03/2018;8:39:53
53;9;44;-85;22/03/2018;8:40:03
54;9;44;-85;22/03/2018;8:40:13
55;9;44;-85;22/03/2018;8:40:23
56;9;44;-85;22/03/2018;8:40:33
57;9;44;-85;22/03/2018;8:40:43
58;9;44;-85;22/03/2018;8:40:53
59;9;44;-85;22/03/2018;8:41:03
60;9;44;-85;22/03/2018;8:41:13
61;9;44;-85;22/03/2018;8:41:23
62;9;44;-85;22/03/2018;8:41:33
63;9;44;-85;22/03/2018;8:41:43
64;9;44;-85;22/03/2018;8:41:53

1;9;43;-85;22/03/2018;8:46:53
2;9;43;-85;22/03/2018;8:47:03
3;9;43;-85;22/03/2018;8:47:13
4;9;43;-85;22/03/2018;8:47:23
5;9;43;-85;22/03/2018;8:47:33
6;9;43;-85;22/03/2018;8:47:43
7;9;43;-85;22/03/2018;8:47:53
8;9;43;-85;22/03/2018;8:48:03
9;9;43;-85;22/03/2018;8:48:13
10;9;43;-85;22/03/2018;8:48:23
11;9;43;-85;22/03/2018;8:48:33
12;9;43;-85;22/03/2018;8:48:43
13;9;43;-85;22/03/2018;8:48:53
14;9;43;-86;22/03/2018;8:49:03
15;9;43;-86;22/03/2018;8:49:13
16;9;43;-86;22/03/2018;8:49:23
17;9;43;-86;22/03/2018;8:49:33
18;9;43;-86;22/03/2018;8:49:43
19;9;43;-86;22/03/2018;8:49:53
20;9;43;-86;22/03/2018;8:50:03
21;9;43;-86;22/03/2018;8:50:13
22;9;43;-86;22/03/2018;8:50:23
23;9;43;-86;22/03/2018;8:50:33
24;9;43;-86;22/03/2018;8:50:43
25;9;43;-87;22/03/2018;8:50:53
26;9;43;-87;22/03/2018;8:51:03
27;9;43;-87;22/03/2018;8:51:13
28;9;43;-87;22/03/2018;8:51:23
29;9;43;-87;22/03/2018;8:51:33
30;9;43;-87;22/03/2018;8:51:43
31;9;43;-87;22/03/2018;8:51:53
32;9;43;-87;22/03/2018;8:52:03
33;9;43;-87;22/03/2018;8:52:13
34;9;43;-87;22/03/2018;8:52:23
35;9;43;-87;22/03/2018;8:52:33
36;9;43;-87;22/03/2018;8:52:43
37;9;43;-87;22/03/2018;8:52:53
38;9;43;-87;22/03/2018;8:53:03
39;9;43;-87;22/03/2018;8:53:13
40;9;43;-87;22/03/2018;8:53:23
41;9;43;-87;22/03/2018;8:53:33
42;9;43;-87;22/03/2018;8:53:43
43;9;43;-87;22/03/2018;8:53:53
44;9;43;-87;22/03/2018;8:54:03
45;9;43;-87;22/03/2018;8:54:13
46;9;43;-87;22/03/2018;8:54:23
47;9;43;-87;22/03/2018;8:54:33
48;9;43;-87;22/03/2018;8:54:43
49;9;43;-87;22/03/2018;8:54:53
50;9;43;-87;22/03/2018;8:55:03
51;9;43;-87;22/03/2018;8:55:13
52;9;43;-87;22/03/2018;8:55:23
53;9;43;-87;22/03/2018;8:55:33
54;9;43;-87;22/03/2018;8:55:43
55;9;43;-87;22/03/2018;8:55:53
56;9;43;-87;22/03/2018;8:56:03
57;9;43;-87;22/03/2018;8:56:13
58;9;43;-86;22/03/2018;8:56:23
59;9;43;-86;22/03/2018;8:56:33
60;9;43;-86;22/03/2018;8:56:43
61;9;43;-86;22/03/2018;8:56:53
62;9;43;-86;22/03/2018;8:57:03
63;9;43;-86;22/03/2018;8:57:13
64;9;43;-86;22/03/2018;8:57:23

1;9;43;-86;22/03/2018;9:03:13
2;9;43;-86;22/03/2018;9:03:23
3;9;43;-86;22/03/2018;9:03:33
4;9;43;-86;22/03/2018;9:03:43
5;9;43;-87;22/03/2018;9:03:53
6;9;43;-87;22/03/2018;9:04:03
7;9;43;-87;22/03/2018;9:04:13
8;9;43;-87;22/03/2018;9:04:23
9;9;43;-87;22/03/2018;9:04:33
10;9;43;-87;22/03/2018;9:04:43
11;9;44;-87;22/03/2018;9:04:53
12;9;44;-87;22/03/2018;9:05:03
13;9;44;-87;22/03/2018;9:05:13
14;9;44;-87;22/03/2018;9:05:23
15;9;44;-87;22/03/2018;9:05:33
16;9;44;-87;22/03/2018;9:05:43
17;9;44;-87;22/03/2018;9:05:53
18;9;44;-87;22/03/2018;9:06:03
19;9;44;-87;22/03/2018;9:06:13
20;9;44;-87;22/03/2018;9:06:23
21;9;44;-87;22/03/2018;9:06:33
22;9;44;-87;22/03/2018;9:06:43
23;9;44;-86;22/03/2018;9:06:53
24;9;44;-85;22/03/2018;9:07:03
25;9;44;-85;22/03/2018;9:07:13
26;9;44;-85;22/03/2018;9:07:23
27;9;44;-85;22/03/2018;9:07:33
28;9;44;-85;22/03/2018;9:07:43
29;9;44;-85;22/03/2018;9:07:53
30;9;44;-85;22/03/2018;9:08:03
31;9;44;-85;22/03/2018;9:08:13
32;9;44;-85;22/03/2018;9:08:23
33;9;44;-85;22/03/2018;9:08:33
34;9;44;-85;22/03/2018;9:08:43
35;9;44;-85;22/03/2018;9:08:53
36;9;44;-85;22/03/2018;9:09:03
37;9;44;-85;22/03/2018;9:09:13
38;9;44;-85;22/03/2018;9:09:23
39;9;44;-85;22/03/2018;9:09:33
40;9;44;-85;22/03/2018;9:09:43
41;9;44;-85;22/03/2018;9:09:53
42;9;44;-85;22/03/2018;9:10:03
43;9;44;-85;22/03/2018;9:10:13
44;9;44;-85;22/03/2018;9:10:23
45;9;44;-85;22/03/2018;9:10:33
46;9;44;-85;22/03/2018;9:10:43
47;9;44;-85;22/03/2018;9:10:53
48;9;44;-85;22/03/2018;9:11:03
49;9;44;-85;22/03/2018;9:11:13
50;9;44;-85;22/03/2018;9:11:23
51;9;44;-85;22/03/2018;9:11:33
52;9;44;-86;22/03/2018;9:11:43
53;9;44;-86;22/03/2018;9:11:53
54;9;44;-86;22/03/2018;9:12:03
55;9;44;-86;22/03/2018;9:12:13
56;9;44;-85;22/03/2018;9:12:23
57;9;43;-85;22/03/2018;9:12:33
58;9;43;-85;22/03/2018;9:12:43
59;9;43;-85;22/03/2018;9:12:53
60;9;43;-85;22/03/2018;9:13:03
61;9;43;-85;22/03/2018;9:13:13
62;9;43;-85;22/03/2018;9:13:23
63;9;43;-85;22/03/2018;9:13:33

1;10;43;-85;22/03/2018;9:16:33
2;10;43;-85;22/03/2018;9:16:43
3;10;43;-85;22/03/2018;9:16:53
4;10;43;-85;22/03/2018;9:17:03
5;10;43;-85;22/03/2018;9:17:13
6;10;43;-85;22/03/2018;9:17:23
7;10;43;-85;22/03/2018;9:17:33
