cicle;temperature;humidity;RSSI;date;hour
1;16;44;-57;23/03/2018;10:45:31
2;16;44;-57;23/03/2018;10:45:41
3;16;44;-57;23/03/2018;10:45:51
4;16;44;-57;23/03/2018;10:46:01
5;16;44;-57;23/03/2018;10:46:11
6;16;44;-58;23/03/2018;10:46:21
7;16;44;-57;23/03/2018;10:46:31
8;16;43;-57;23/03/2018;10:46:41
9;16;43;-57;23/03/2018;10:46:51
10;16;43;-57;23/03/2018;10:47:01
11;16;43;-57;23/03/2018;10:47:11
12;16;43;-57;23/03/2018;10:47:21
13;16;43;-57;23/03/2018;10:47:31
14;16;43;-57;23/03/2018;10:47:41
15;16;43;-57;23/03/2018;10:47:51
16;16;43;-57;23/03/2018;10:48:01
17;16;43;-57;23/03/2018;10:48:11
18;16;43;-57;23/03/2018;10:48:21
19;16;43;-57;23/03/2018;10:48:31
20;16;43;-58;23/03/2018;10:48:41
21;16;43;-58;23/03/2018;10:48:51
22;16;43;-58;23/03/2018;10:49:01
23;16;43;-58;23/03/2018;10:49:11
24;16;43;-58;23/03/2018;10:49:21
25;16;43;-58;23/03/2018;10:49:31
26;16;43;-59;23/03/2018;10:49:41
27;16;43;-59;23/03/2018;10:49:51
28;16;43;-59;23/03/2018;10:50:01
29;16;43;-58;23/03/2018;10:50:11
30;16;43;-58;23/03/2018;10:50:21
31;16;43;-58;23/03/2018;10:50:31
32;16;43;-58;23/03/2018;10:50:41
33;16;43;-58;23/03/2018;10:50:51
34;16;43;-58;23/03/2018;10:51:01
35;16;43;-58;23/03/2018;10:51:11
36;16;43;-58;23/03/2018;10:51:21
37;16;43;-58;23/03/2018;10:51:31
38;16;43;-58;23/03/2018;10:51:41
39;16;43;-58;23/03/2018;10:51:51
40;16;43;-58;23/03/2018;10:52:01
41;16;43;-58;23/03/2018;10:52:11
42;16;43;-58;23/03/2018;10:52:21
43;16;43;-57;23/03/2018;10:52:31
44;16;43;-57;23/03/2018;10:52:41
45;16;43;-57;23/03/2018;10:52:51
46;16;43;-57;23/03/2018;10:53:01
47;16;43;-57;23/03/2018;10:53:11
48;16;43;-57;23/03/2018;10:53:21
49;16;43;-57;23/03/2018;10:53:31
50;16;43;-57;23/03/2018;10:53:41
51;16;43;-57;23/03/2018;10:53:51
52;16;43;-57;23/03/2018;10:54:01
53;16;43;-57;23/03/2018;10:54:11
54;16;43;-57;23/03/2018;10:54:21
55;16;43;-57;23/03/2018;10:54:31
56;16;43;-57;23/03/2018;10:54:41
57;16;43;-57;23/03/2018;10:54:51
58;16;43;-57;23/03/2018;10:55:01
59;16;43;-57;23/03/2018;10:55:11
60;16;43;-57;23/03/2018;10:55:21
61;16;42;-57;23/03/2018;10:55:31
62;16;42;-57;23/03/2018;10:55:41
63;16;42;-57;23/03/2018;10:55:51
64;16;42;-57;23/03/2018;10:56:01

1;16;42;-59;23/03/2018;11:03:51
2;16;42;-59;23/03/2018;11:04:01
3;16;42;-59;23/03/2018;11:04:11
4;16;42;-59;23/03/2018;11:04:21
5;16;42;-58;23/03/2018;11:04:31
6;16;42;-58;23/03/2018;11:04:41
7;16;42;-58;23/03/2018;11:04:51
8;16;42;-58;23/03/2018;11:05:01
9;16;42;-58;23/03/2018;11:05:11
10;16;42;-58;23/03/2018;11:05:21
11;16;42;-58;23/03/2018;11:05:31
12;16;42;-58;23/03/2018;11:05:41
13;16;42;-58;23/03/2018;11:05:51
14;16;42;-58;23/03/2018;11:06:01
15;16;42;-58;23/03/2018;11:06:11
16;16;42;-58;23/03/2018;11:06:21
17;16;42;-58;23/03/2018;11:06:31
18;16;42;-58;23/03/2018;11:06:41
19;16;42;-58;23/03/2018;11:06:51
20;16;42;-58;23/03/2018;11:07:01
21;16;42;-58;23/03/2018;11:07:11
22;16;42;-59;23/03/2018;11:07:21
23;16;42;-59;23/03/2018;11:07:31
24;16;42;-59;23/03/2018;11:07:41
25;16;42;-59;23/03/2018;11:07:51
26;16;42;-59;23/03/2018;11:08:01
27;16;42;-59;23/03/2018;11:08:11
28;16;42;-59;23/03/2018;11:08:21
29;16;42;-59;23/03/2018;11:08:31
30;16;42;-59;23/03/2018;11:08:41
31;16;42;-59;23/03/2018;11:08:51
32;16;42;-59;23/03/2018;11:09:01
33;16;42;-59;23/03/2018;11:09:11
34;16;42;-59;23/03/2018;11:09:21
35;16;42;-59;23/03/2018;11:09:31
36;16;42;-59;23/03/2018;11:09:41
37;16;42;-59;23/03/2018;11:09:51
38;16;42;-59;23/03/2018;11:10:01
39;16;42;-59;23/03/2018;11:10:11
40;16;42;-59;23/03/2018;11:10:21
41;16;42;-59;23/03/2018;11:10:31
42;16;42;-60;23/03/2018;11:10:41
43;16;42;-60;23/03/2018;11:10:51
44;16;42;-60;23/03/2018;11:11:01
